Gene1	Gene2	Score
CTNNB1	RSPO1	0.953949291418084
RSPO1	CTNNB1	0.953949291418084
CTNNB1	FOXL2	0.949213047088376
RSPO1	FOXL2	0.942435178721333
WNT4	FOXL2	0.911632239906259
CTNNB1	WT1pKTS	-0.911465034388045
RSPO1	WT1pKTS	-0.906711433454503
WNT4	WT1pKTS	-0.895239259136642
WNT4	NR5A1	-0.890397613465747
WNT4	CTNNB1	0.890353755433801
NR0B1	FOXL2	0.881944181260213
UGR	WT1pKTS	0.881115333714641
WNT4	RSPO1	0.880417894541432
UGR	CBX2	0.879133706946092
WNT4	CBX2	-0.878215594151981
DKK1	DMRT1	0.876666709188699
DMRT1	DKK1	0.876666709188699
NR0B1	WT1pKTS	-0.873497584723637
CTNNB1	NR5A1	-0.871929120063
UGR	FOXL2	-0.869791475006649
NR0B1	NR5A1	-0.867359420655768
UGR	NR5A1	0.866524839050799
NR0B1	RSPO1	0.865997356290567
NR0B1	WNT4	0.86582326101374
WNT4	NR0B1	0.86582326101374
RSPO1	NR5A1	-0.865671066214228
NR0B1	CTNNB1	0.85773841119479
NR0B1	CBX2	-0.857552862104355
UGR	RSPO1	-0.850109800317193
CBX2	NR5A1	0.848416085706172
UGR	CTNNB1	-0.848333855445563
WNT4	UGR	-0.845426597038408
NR5A1	WT1pKTS	0.833752977521107
NR0B1	UGR	-0.831743619287498
UGR	WNT4	-0.829153511715545
FOXL2	WT1pKTS	-0.817291301790381
CBX2	FOXL2	-0.806093632995711
UGR	NR0B1	-0.798228218061122
CBX2	WT1pKTS	0.796708083934078
NR5A1	FOXL2	-0.7936493104546
CBX2	CTNNB1	-0.790479776134756
CBX2	RSPO1	-0.787907148607189
CTNNB1	CBX2	-0.759318557982502
RSPO1	CBX2	-0.757959154508939
WT1pKTS	FOXL2	-0.754826086059608
WT1mKTS	UGR	-0.741090992219965
GATA4	UGR	-0.740813190756346
SOX9	DKK1	0.734720964367869
DKK1	SOX9	0.734720964367869
WT1mKTS	NR5A1	-0.72651849830253
WT1mKTS	CBX2	-0.720897977824272
NR5A1	CTNNB1	-0.719452196741548
GATA4	NR5A1	-0.715871654470344
NR5A1	RSPO1	-0.715189726199826
UGR	SRY	0.713186020544211
GATA4	CBX2	-0.713084450455014
FOXL2	CTNNB1	0.711188241562555
RSPO1	WNT4	0.708635703844932
FOXL2	RSPO1	0.708626305800779
CTNNB1	WNT4	0.705174374063049
GATA4	RSPO1	0.702073266842602
WT1pKTS	NR5A1	0.701836690593862
WT1mKTS	RSPO1	0.700075916152123
WT1mKTS	CTNNB1	0.698611721418815
WT1mKTS	WNT4	0.690084310810902
NR5A1	CBX2	0.689675197186349
SOX9	DMRT1	0.683509142331975
DMRT1	SOX9	0.683509142331975
GATA4	CTNNB1	0.679761940852714
CBX2	UGR	0.677891446358
GATA4	WNT4	0.677532091349297
RSPO1	NR0B1	0.675985163062106
CTNNB1	NR0B1	0.673872212861762
FOXL2	NR5A1	-0.672425082206517
CBX2	SRY	0.668046603422684
GATA4	WT1mKTS	0.667010586478212
WT1mKTS	GATA4	0.667010586478212
WNT4	SRY	-0.662166391990983
NR0B1	SRY	-0.65897100145856
CTNNB1	UGR	-0.653822067637615
GATA4	NR0B1	0.652118387414077
RSPO1	UGR	-0.650869429007581
WT1mKTS	NR0B1	0.647615459743142
GATA4	SRY	-0.630925500956016
WT1mKTS	SRY	-0.62983083042946
WT1mKTS	WT1pKTS	-0.60566921665805
WT1mKTS	FOXL2	0.604526421130124
GATA4	WT1pKTS	-0.597984646088995
GATA4	FOXL2	0.593068027161505
CBX2	WNT4	-0.56685048316858
NR0B1	WT1mKTS	0.558305411412891
NR5A1	SRY	0.557344892097279
WNT4	WT1mKTS	0.550147151955781
NR0B1	GATA4	0.541694689309686
WNT4	GATA4	0.538769601762446
FOXL2	CBX2	-0.516563456810446
CBX2	NR0B1	-0.514206052557072
WT1pKTS	CBX2	0.50148275841749
FOXL2	WNT4	0.497858864080411
SRY	NR5A1	0.489513369951196
WT1pKTS	SRY	0.458884059300599
SRY	WT1pKTS	0.458884059300599
CTNNB1	SRY	-0.455829096397189
RSPO1	SRY	-0.454436961035286
WT1pKTS	CTNNB1	-0.434262999954032
FOXL2	UGR	-0.432501517371191
WT1pKTS	RSPO1	-0.431538126840867
FOXL2	NR0B1	0.42436054223311
DKK1	SRY	0.404497231267368
SRY	DKK1	0.404497231267368
FOXL2	WT1mKTS	0.383919520658096
FOXL2	GATA4	0.378122984723492
SRY	DMRT1	0.376080642170576
DMRT1	SRY	0.376080642170576
CTNNB1	WT1mKTS	0.375683780843553
RSPO1	WT1mKTS	0.368075418692499
WT1pKTS	GATA4	-0.367641554858411
SRY	RSPO1	0.366911235893243
NR5A1	UGR	0.358472087704646
NR5A1	GATA4	-0.354332674184892
CTNNB1	GATA4	0.352938451021936
RSPO1	GATA4	0.350978333839714
SRY	FOXL2	-0.349139633071353
UGR	DKK1	0.345317989580579
UGR	DMRT1	0.335832999210219
UGR	GATA4	-0.326425399812066
UGR	WT1mKTS	-0.325300880286362
SRY	NR0B1	0.320932785250579
CBX2	DMRT1	0.320723328559212
CBX2	DKK1	0.31181775539949
SRY	CBX2	-0.311459211787185
SRY	UGR	-0.30950051493898
WT1pKTS	WNT4	0.306070205067721
NR0B1	DKK1	-0.305138326420251
NR5A1	WNT4	-0.304175498646171
FOXL2	SRY	-0.303239946034293
WNT4	DKK1	-0.297771188032746
SRY	CTNNB1	0.289499096189639
WT1pKTS	UGR	-0.28900624390257
WNT4	DMRT1	-0.288561733748432
NR0B1	DMRT1	-0.287038967823334
WT1mKTS	DKK1	-0.285110771697056
SOX9	SRY	0.28284104951501
SRY	SOX9	0.28284104951501
WT1pKTS	WT1mKTS	-0.282826200680794
GATA4	DKK1	-0.269159480869363
CBX2	GATA4	-0.268710130051223
NR5A1	DKK1	0.264455190668209
SRY	WNT4	0.262026262053508
SRY	GATA4	0.2616991082642
UGR	SOX9	0.259297466624033
GATA4	SOX9	-0.257377665125373
NR5A1	DMRT1	0.256883466377906
NR5A1	NR0B1	-0.256005598798351
WT1mKTS	DMRT1	-0.248874336137594
WT1mKTS	SOX9	-0.247655855003644
CBX2	SOX9	0.238491344990315
DMRT1	RSPO1	0.232225684972782
WT1pKTS	DKK1	0.232082980903442
DKK1	RSPO1	0.22812368779956
GATA4	DMRT1	-0.226310820067638
NR5A1	WT1mKTS	-0.222632040263156
WT1pKTS	DMRT1	0.221511454898161
NR0B1	SOX9	-0.207598643077809
WNT4	SOX9	-0.206681762366056
CTNNB1	DMRT1	-0.204581278305173
RSPO1	DKK1	-0.204386335614719
DKK1	NR0B1	0.203755463558075
CTNNB1	DKK1	-0.203210625679969
SRY	WT1mKTS	0.203092119998207
RSPO1	DMRT1	-0.20296897026822
DKK1	WT1pKTS	-0.197084515336377
NR5A1	SOX9	0.195739153122568
DMRT1	NR0B1	0.193217352180683
DMRT1	WNT4	0.193198681050626
DKK1	CTNNB1	0.192436897333308
DKK1	NR5A1	-0.191973854316847
DKK1	FOXL2	0.191830387264656
DMRT1	WT1pKTS	-0.18954796954591
DMRT1	DHH	0.187815413077083
DKK1	CBX2	-0.186413761014107
DMRT1	CTNNB1	0.185214797768014
DKK1	WNT4	0.18359604907558
DMRT1	NR5A1	-0.181710513785531
DKK1	PGD2	0.179962118034644
DMRT1	FOXL2	0.179675413892892
CBX2	WT1mKTS	-0.179432050337469
DMRT1	CBX2	-0.178540467504023
DKK1	UGR	-0.174398425234801
SOX9	WNT4	0.172944035034539
DKK1	DHH	0.171930772950744
WT1pKTS	SOX9	0.169353105394442
DKK1	GATA4	0.166068328713958
SOX9	DHH	0.165445781901133
SOX9	NR5A1	0.161460814533561
DMRT1	UGR	-0.16105724077846
WT1pKTS	NR0B1	0.159749144990827
DMRT1	PGD2	0.158942042533546
SOX9	WT1pKTS	0.157286049446646
DMRT1	GATA4	-0.151246936664446
FOXL2	DMRT1	-0.146214549463439
DHH	AMH	0.145436173267332
CTNNB1	SOX9	-0.144824038955927
SOX9	GATA4	0.143510766675223
RSPO1	SOX9	-0.143055662268954
SOX9	RSPO1	0.14282480628834
DHH	PGD2	0.139935463828727
FOXL2	DKK1	-0.138784072494332
PGD2	DHH	0.137223355957724
AMH	DKK1	0.13629964612586
SRY	DHH	0.136284756796126
PGD2	WT1mKTS	0.135470438328369
SOX9	NR0B1	0.135292476273367
DKK1	WT1mKTS	0.134543245570132
PGD2	DKK1	0.13131364939636
SOX9	WT1mKTS	0.130592314729155
DMRT1	WT1mKTS	0.130239605349879
AMH	SOX9	0.128149317503153
AMH	GATA4	0.127766108884977
AMH	WT1mKTS	-0.12728821377201
SOX9	FGF9	0.124623840266441
PGD2	SOX9	0.124538685927979
SOX9	PGD2	0.123874735688696
FOXL2	DHH	0.123062855668524
DKK1	AMH	0.122607676380861
PGD2	CTNNB1	0.121857536014562
SOX9	AMH	0.120687650281378
PGD2	AMH	0.119982937062977
FGF9	SOX9	0.118593226627211
GATA4	PGD2	0.118109435141564
WT1mKTS	DHH	0.117744529917955
DHH	WT1mKTS	0.116727065618252
SOX9	CTNNB1	0.116272799733245
PGD2	WNT4	0.115967781048795
DMRT1	AMH	0.115829330823827
DKK1	FGF9	0.115500312371492
PGD2	DMRT1	0.115096134890795
