Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.177641	1.000000	0.320708
FGF9	+	DMRT1	0.016843	0.448448	0.013637
RSPO1	+	DMRT1	0.025474	0.306273	0.014085
DHH	-	DMRT1	-0.018238	0.432425	-0.014238
CTNNB1	+	DMRT1	0.004251	0.080228	0.000616
PGD2	+	DMRT1	0.018425	0.450217	0.014976
WT1mKTS	+	DMRT1	0.014838	0.100788	0.002700
SRY	+	DMRT1	0.022207	0.199308	0.007991
DKK1	+	DMRT1	0.081787	0.906189	0.133804
WNT4	+	DMRT1	0.016081	0.116520	0.003383
CBX2	-	DMRT1	-0.031180	0.708143	-0.039862
AMH	-	DMRT1	-0.028269	0.461405	-0.023549
NR0B1	+	DMRT1	0.010212	0.088878	0.001639
NR5A1	+	DMRT1	0.045422	0.998162	0.081853
WT1pKTS	-	DMRT1	-0.011984	0.129543	-0.002803
FOXL2	-	DMRT1	-0.034481	0.977461	-0.060848
UGR	+	DMRT1	0.005436	0.044613	0.000438
SOX9	+	DMRT1	0.020659	0.374821	0.013980
GATA4	-	DMRT1	-0.011374	0.174794	-0.003589
DMRT1	+	FGF9	0.003906	0.231452	0.001632
FGF9	+	FGF9	0.004001	0.436745	0.003155
RSPO1	+	FGF9	0.004886	0.092630	0.000817
DHH	-	FGF9	-0.003590	0.413406	-0.002679
CTNNB1	-	FGF9	-0.004092	0.154309	-0.001140
PGD2	+	FGF9	0.002833	0.430392	0.002201
WT1mKTS	-	FGF9	-0.000276	0.089466	-0.000045
SRY	+	FGF9	0.003750	0.062003	0.000420
DKK1	+	FGF9	0.006948	0.291080	0.003651
WNT4	+	FGF9	0.004647	0.086226	0.000723
CBX2	-	FGF9	-0.001518	0.053858	-0.000148
AMH	+	FGF9	0.001149	0.399264	0.000828
NR0B1	+	FGF9	0.001943	0.075889	0.000266
NR5A1	+	FGF9	0.002873	0.074736	0.000388
WT1pKTS	-	FGF9	-0.001177	0.057005	-0.000121
FOXL2	+	FGF9	0.004883	0.102270	0.000902
UGR	+	FGF9	0.014342	0.976138	0.025274
SOX9	+	FGF9	0.037786	0.964679	0.065809
GATA4	+	FGF9	0.009549	0.155148	0.002675
DMRT1	+	RSPO1	0.149344	0.580880	0.156617
FGF9	+	RSPO1	0.080592	0.477176	0.069429
RSPO1	+	RSPO1	0.512579	1.000000	0.925394
DHH	+	RSPO1	0.002981	0.406124	0.002185
CTNNB1	+	RSPO1	0.213542	0.999885	0.385478
PGD2	+	RSPO1	0.069633	0.463096	0.058218
WT1mKTS	+	RSPO1	0.012692	0.067543	0.001548
SRY	-	RSPO1	-0.218413	1.000000	-0.394316
DKK1	+	RSPO1	0.069816	0.329591	0.041543
WNT4	+	RSPO1	0.165127	0.769241	0.229323
CBX2	-	RSPO1	-0.230660	1.000000	-0.416426
AMH	+	RSPO1	0.070435	0.440565	0.056022
NR0B1	+	RSPO1	0.103250	0.046331	0.008636
NR5A1	-	RSPO1	-0.172397	0.999997	-0.311239
WT1pKTS	+	RSPO1	0.168717	0.999520	0.304451
FOXL2	+	RSPO1	0.197299	0.999954	0.356180
UGR	+	RSPO1	0.035898	0.083373	0.005403
SOX9	-	RSPO1	-0.156803	0.578262	-0.163699
GATA4	+	RSPO1	0.252046	1.000000	0.455035
DMRT1	+	DHH	0.002891	0.199495	0.001041
FGF9	+	DHH	0.004195	0.436055	0.003302
RSPO1	-	DHH	-0.001147	0.079942	-0.000166
DHH	+	DHH	0.000608	0.406390	0.000446
CTNNB1	+	DHH	0.002495	0.079917	0.000360
PGD2	-	DHH	-0.000970	0.426733	-0.000747
WT1mKTS	+	DHH	0.007591	0.124117	0.001701
SRY	-	DHH	-0.002034	0.028671	-0.000105
DKK1	-	DHH	-0.003044	0.219553	-0.001207
WNT4	-	DHH	-0.001399	0.092219	-0.000233
CBX2	-	DHH	-0.000987	0.047028	-0.000084
AMH	+	DHH	0.013347	0.480790	0.011585
NR0B1	+	DHH	0.009117	0.197776	0.003255
NR5A1	+	DHH	0.002367	0.066118	0.000283
WT1pKTS	+	DHH	0.000465	0.045748	0.000038
FOXL2	+	DHH	0.002561	0.072193	0.000334
UGR	+	DHH	0.012802	0.762435	0.017622
SOX9	-	DHH	-0.006020	0.321239	-0.003491
GATA4	+	DHH	0.004797	0.090728	0.000786
DMRT1	+	CTNNB1	0.071791	0.289463	0.037517
FGF9	-	CTNNB1	-0.086966	0.480183	-0.075392
RSPO1	+	CTNNB1	0.339517	1.000000	0.612954
DHH	-	CTNNB1	-0.174085	0.597102	-0.187661
CTNNB1	+	CTNNB1	0.419104	1.000000	0.756636
PGD2	+	CTNNB1	0.134118	0.537672	0.130188
WT1mKTS	+	CTNNB1	0.166480	0.860627	0.258667
SRY	-	CTNNB1	-0.215503	1.000000	-0.389063
DKK1	+	CTNNB1	0.085844	0.337911	0.052369
WNT4	+	CTNNB1	0.063658	0.056316	0.006472
CBX2	-	CTNNB1	-0.231146	1.000000	-0.417303
AMH	+	CTNNB1	0.234332	0.706531	0.298902
NR0B1	+	CTNNB1	0.155770	0.781108	0.219665
NR5A1	-	CTNNB1	-0.167393	0.999931	-0.302186
WT1pKTS	+	CTNNB1	0.060652	0.138167	0.015129
FOXL2	+	CTNNB1	0.154140	0.970968	0.270200
UGR	-	CTNNB1	-0.007156	0.046701	-0.000603
SOX9	-	CTNNB1	-0.013395	0.305719	-0.007393
GATA4	+	CTNNB1	0.245398	1.000000	0.443034
DMRT1	+	PGD2	0.000139	0.191538	0.000048
FGF9	-	PGD2	-0.000129	0.427856	-0.000099
RSPO1	+	PGD2	0.001011	0.074539	0.000136
DHH	+	PGD2	0.023086	0.638446	0.026609
CTNNB1	+	PGD2	0.001364	0.076650	0.000189
PGD2	+	PGD2	0.003425	0.432148	0.002672
WT1mKTS	+	PGD2	0.004770	0.074740	0.000644
SRY	-	PGD2	-0.004152	0.070911	-0.000532
DKK1	+	PGD2	0.001746	0.213770	0.000674
WNT4	+	PGD2	0.001840	0.077537	0.000258
CBX2	-	PGD2	-0.004163	0.102039	-0.000767
AMH	+	PGD2	0.006047	0.419356	0.004578
NR0B1	+	PGD2	0.000656	0.075594	0.000090
NR5A1	-	PGD2	-0.000953	0.056197	-0.000097
WT1pKTS	+	PGD2	0.010286	0.415383	0.007714
FOXL2	+	PGD2	0.005630	0.136649	0.001389
UGR	+	PGD2	0.009288	0.280917	0.004710
SOX9	+	PGD2	0.002958	0.300588	0.001605
GATA4	+	PGD2	0.004635	0.073777	0.000617
DMRT1	+	WT1mKTS	0.028230	0.237078	0.012083
FGF9	+	WT1mKTS	0.087361	0.470493	0.074205
RSPO1	+	WT1mKTS	0.027788	0.067113	0.003367
DHH	+	WT1mKTS	0.153200	0.533740	0.147623
CTNNB1	+	WT1mKTS	0.274764	1.000000	0.496050
PGD2	+	WT1mKTS	0.140860	0.527727	0.134203
WT1mKTS	+	WT1mKTS	0.459380	1.000000	0.829350
SRY	+	WT1mKTS	0.330633	0.000000	0.000000
DKK1	+	WT1mKTS	0.192673	0.649638	0.225974
WNT4	+	WT1mKTS	0.084949	0.044548	0.006832
CBX2	+	WT1mKTS	0.099189	0.303814	0.054405
AMH	+	WT1mKTS	0.176676	0.566273	0.180621
NR0B1	+	WT1mKTS	0.093162	0.047498	0.007989
NR5A1	+	WT1mKTS	0.234230	1.000000	0.422872
WT1pKTS	+	WT1mKTS	0.259199	1.000000	0.467950
FOXL2	+	WT1mKTS	0.255156	1.000000	0.460650
UGR	+	WT1mKTS	0.102916	0.343157	0.063759
SOX9	+	WT1mKTS	0.080694	0.367920	0.053599
GATA4	+	WT1mKTS	0.342524	1.000000	0.618381
DMRT1	+	SRY	0.302847	0.978399	0.534940
FGF9	+	SRY	0.114242	0.508088	0.104793
RSPO1	-	SRY	-0.099085	0.943865	-0.168843
DHH	-	SRY	-0.077055	0.448456	-0.062386
CTNNB1	-	SRY	-0.139941	0.999887	-0.252616
PGD2	+	SRY	0.067812	0.455958	0.055821
WT1mKTS	-	SRY	-0.021166	0.147684	-0.005643
SRY	+	SRY	0.371574	1.000000	0.670828
DKK1	+	SRY	0.252571	0.886844	0.404386
WNT4	+	SRY	0.203649	0.999356	0.367425
CBX2	-	SRY	-0.088257	0.515355	-0.082115
AMH	+	SRY	0.032974	0.406885	0.024222
NR0B1	+	SRY	0.020401	0.064110	0.002361
NR5A1	+	SRY	0.324815	1.000000	0.586410
WT1pKTS	+	SRY	0.004312	0.051515	0.000401
FOXL2	-	SRY	-0.001000	0.053491	-0.000097
UGR	+	SRY	0.418394	0.000000	0.000000
SOX9	-	SRY	-0.042740	0.343324	-0.026491
GATA4	+	SRY	0.070690	0.037305	0.004761
DMRT1	+	DKK1	0.176953	1.000000	0.319466
FGF9	+	DKK1	0.027254	0.488180	0.024020
RSPO1	+	DKK1	0.007156	0.077125	0.000996
DHH	-	DKK1	-0.015905	0.429227	-0.012325
CTNNB1	+	DKK1	0.001924	0.073151	0.000254
PGD2	+	DKK1	0.011687	0.436983	0.009220
WT1mKTS	+	DKK1	0.011247	0.076208	0.001547
SRY	+	DKK1	0.025222	0.312357	0.014223
DKK1	+	DKK1	0.103122	0.990788	0.184458
WNT4	+	DKK1	0.029280	0.410252	0.021686
CBX2	-	DKK1	-0.021634	0.329770	-0.012880
AMH	-	DKK1	-0.025829	0.459743	-0.021438
NR0B1	+	DKK1	0.008103	0.076324	0.001117
NR5A1	+	DKK1	0.032964	0.836440	0.049779
WT1pKTS	-	DKK1	-0.012206	0.151424	-0.003337
FOXL2	-	DKK1	-0.028700	0.952931	-0.049375
UGR	+	DKK1	0.006212	0.049160	0.000551
SOX9	+	DKK1	0.017833	0.370384	0.011925
GATA4	-	DKK1	-0.008283	0.153102	-0.002289
DMRT1	+	WNT4	0.031249	0.226729	0.012791
FGF9	+	WNT4	0.101389	0.486544	0.089059
RSPO1	+	WNT4	0.185181	0.983240	0.328716
DHH	+	WNT4	0.125234	0.498823	0.112781
CTNNB1	+	WNT4	0.095549	0.112579	0.019420
PGD2	+	WNT4	0.204493	0.624329	0.230493
WT1mKTS	+	WNT4	0.102713	0.060649	0.011246
SRY	+	WNT4	0.177989	0.000000	0.000000
DKK1	+	WNT4	0.121382	0.408706	0.089563
WNT4	+	WNT4	0.497598	1.000000	0.898347
CBX2	+	WNT4	0.325981	0.000000	0.000000
AMH	-	WNT4	-0.004064	0.399319	-0.002930
NR0B1	+	WNT4	0.303561	1.000000	0.548039
NR5A1	+	WNT4	0.217050	0.999999	0.391854
WT1pKTS	+	WNT4	0.106394	0.378758	0.072752
FOXL2	+	WNT4	0.109216	0.255673	0.050412
UGR	-	WNT4	-0.287855	1.000000	-0.519684
SOX9	+	WNT4	0.154959	0.515381	0.144182
GATA4	+	WNT4	0.241646	0.999988	0.436255
DMRT1	-	CBX2	-0.078027	0.318926	-0.044926
FGF9	+	CBX2	0.086948	0.487905	0.076588
RSPO1	-	CBX2	-0.097996	0.979291	-0.173255
DHH	+	CBX2	0.124671	0.530264	0.119350
CTNNB1	-	CBX2	-0.100144	0.982770	-0.177682
PGD2	+	CBX2	0.104481	0.509794	0.096161
WT1mKTS	+	CBX2	0.084279	0.021067	0.003206
SRY	+	CBX2	0.227498	0.000000	0.000000
DKK1	+	CBX2	0.050896	0.274209	0.025196
WNT4	-	CBX2	-0.083754	0.958303	-0.144901
CBX2	+	CBX2	0.553904	1.000000	1.000000
AMH	+	CBX2	0.077276	0.451862	0.063040
NR0B1	-	CBX2	-0.045708	0.379853	-0.031345
NR5A1	+	CBX2	0.233651	1.000000	0.421827
WT1pKTS	+	CBX2	0.114124	0.269690	0.055566
FOXL2	+	CBX2	0.150914	0.997345	0.271731
UGR	+	CBX2	0.176406	0.998971	0.318150
SOX9	+	CBX2	0.020818	0.306508	0.011520
GATA4	+	CBX2	0.123885	0.035647	0.007973
DMRT1	+	AMH	0.006213	0.229424	0.002573
FGF9	+	AMH	0.008795	0.460082	0.007305
RSPO1	-	AMH	-0.002016	0.086067	-0.000313
DHH	+	AMH	0.020427	0.567066	0.020912
CTNNB1	+	AMH	0.004116	0.096413	0.000716
PGD2	+	AMH	0.003622	0.431833	0.002824
WT1mKTS	+	AMH	0.007014	0.124690	0.001579
SRY	-	AMH	-0.001789	0.024569	-0.000079
DKK1	-	AMH	-0.002618	0.219587	-0.001038
WNT4	+	AMH	0.000036	0.077756	0.000005
CBX2	-	AMH	-0.002623	0.062511	-0.000296
AMH	+	AMH	0.004827	0.409825	0.003571
NR0B1	+	AMH	0.002628	0.081712	0.000388
